"dt_mes","id_cuenta_contable","id_entidad_contable","id_epigrafe_phc"
"20260331","15450515","3081","10202"
"20260331","15450543","3081","10202"
"20260331","15450553","3081","10202"
"20260331","15450554","3081","10202"
"20260331","15450555","3081","10202"
"20260331","15450556","3081","10202"
"20260331","15450655","3081","10202"
"20260331","15450855","3081","10202"
"20260331","15450856","3081","10202"
"20260331","15451153","3081","10202"
"20260331","15451155","3081","10202"
"20260331","15451156","3081","10202"
"20260331","15451255","3081","10202"
"20260331","15451355","3081","10202"
"20260331","15451455","3081","10202"
"20260331","15451553","3081","10202"
"20260331","15451555","3081","10202"
"20260331","15451556","3081","10202"
"20260331","15451855","3081","10202"
"20260331","15452153","3081","10202"
"20260331","15452155","3081","10202"
"20260331","15452156","3081","10202"
"20260331","15452455","3081","10202"
"20260331","15452553","3081","10202"
"20260331","15452554","3081","10202"
"20260331","15452555","3081","10202"
"20260331","15452556","3081","10202"
"20260331","15452755","3081","10202"
"20260331","15452855","3081","10202"
"20260331","15500153","3081","10201"
"20260331","15504115","3081","10201"
"20260331","15504143","3081","10201"
"20260331","15504149","3081","10201"
"20260331","15504153","3081","10201"
"20260331","15504154","3081","10201"
"20260331","15504155","3081","10201"
"20260331","15504156","3081","10201"
"20260331","15504356","3081","10201"
"20260331","15504514","3081","10201"
"20260331","15504515","3081","10201"
"20260331","15504516","3081","10201"
"20260331","15504543","3081","10201"
"20260331","15504549","3081","10201"
"20260331","15504553","3081","10201"
"20260331","15504554","3081","10201"
"20260331","15504555","3081","10201"
"20260331","15504556","3081","10201"
"20260331","15505153","3081","10201"
"20260331","15505155","3081","10201"
"20260331","15505156","3081","10201"
"20260331","15505515","3081","10201"
"20260331","15505543","3081","10201"
"20260331","15505553","3081","10201"
"20260331","15506115","3081","10201"
"20260331","15506143","3081","10201"
"20260331","15506153","3081","10201"
"20260331","15506154","3081","10201"
"20260331","15506155","3081","10201"
"20260331","15506156","3081","10201"
"20260331","15506356","3081","10201"
"20260331","15506515","3081","10201"
"20260331","15506553","3081","10201"
"20260331","15507153","3081","10201"
"20260331","15507155","3081","10201"
"20260331","15507156","3081","10201"
"20260331","15507515","3081","10201"
"20260331","15507553","3081","10201"
"20260331","15512153","3081","10201"
"20260331","15512154","3081","10201"
"20260331","15512155","3081","10201"
"20260331","15512156","3081","10201"
"20260331","15512553","3081","10201"
"20260331","15514115","3081","10201"
"20260331","15514153","3081","10201"
"20260331","15514155","3081","10201"
"20260331","15514156","3081","10201"
"20260331","15514553","3081","10201"
"20260331","15550143","3081","10202"
"20260331","15550153","3081","10202"
"20260331","15550154","3081","10202"
"20260331","15550155","3081","10202"
"20260331","15550156","3081","10202"
"20260331","15550356","3081","10202"
"20260331","15550543","3081","10202"
"20260331","15550553","3081","10202"
"20260331","15550554","3081","10202"
"20260331","15550555","3081","10202"
"20260331","15550556","3081","10202"
"20260331","15551153","3081","10202"
"20260331","15551155","3081","10202"
"20260331","15551156","3081","10202"
"20260331","15551543","3081","10202"
"20260331","15551553","3081","10202"
"20260331","15552153","3081","10202"
"20260331","15552154","3081","10202"
"20260331","15552155","3081","10202"
"20260331","15552156","3081","10202"
"20260331","15552553","3081","10202"
"20260331","15553139","3081","210"
"20260331","15553143","3081","210"
"20260331","15553153","3081","210"
"20260331","15553154","3081","210"
"20260331","15553155","3081","210"
"20260331","15553156","3081","210"
"20260331","15553543","3081","210"
"20260331","15553553","3081","210"
"20260331","15553554","3081","210"
"20260331","15553555","3081","210"
"20260331","15553556","3081","210"
"20260331","15554153","3081","210"
"20260331","15554155","3081","210"
"20260331","15554156","3081","210"
"20260331","15554553","3081","210"
"20260331","15555153","3081","210"
"20260331","15555154","3081","210"
"20260331","15555156","3081","210"
"20260331","15600114","3081","10201"
"20260331","15600143","3081","10201"
"20260331","15600149","3081","10201"
"20260331","15600153","3081","10201"
"20260331","15600154","3081","10201"
"20260331","15600155","3081","10201"
"20260331","15600156","3081","10201"
"20260331","15600255","3081","10201"
"20260331","15600256","3081","10201"
"20260331","15600355","3081","10201"
"20260331","15600455","3081","10201"
"20260331","15600456","3081","10201"
"20260331","15600543","3081","10201"
"20260331","15600553","3081","10201"
"20260331","15600554","3081","10201"
"20260331","15600555","3081","10201"
"20260331","15600556","3081","10201"
"20260331","15600655","3081","10201"
"20260331","15600755","3081","10201"
"20260331","15600855","3081","10201"
"20260331","15601143","3081","10201"
"20260331","15601153","3081","10201"
"20260331","15601155","3081","10201"
"20260331","15601156","3081","10201"
"20260331","15601255","3081","10201"
"20260331","15601455","3081","10201"
"20260331","15601553","3081","10201"
"20260331","15601555","3081","10201"
"20260331","15602153","3081","10201"
"20260331","15602155","3081","10201"
"20260331","15602156","3081","10201"
"20260331","15602255","3081","10201"
"20260331","15602256","3081","10201"
"20260331","15602553","3081","10201"
"20260331","15602554","3081","10201"
"20260331","15603153","3081","10201"
"20260331","15603154","3081","10201"
"20260331","15603156","3081","10201"
"20260331","15604115","3081","10201"
"20260331","15604116","3081","10201"
"20260331","15604153","3081","10201"
"20260331","15604154","3081","10201"
"20260331","15604155","3081","10201"
"20260331","15604156","3081","10201"
"20260331","15604255","3081","10201"
"20260331","15604256","3081","10201"
"20260331","15604355","3081","10201"
"20260331","15604455","3081","10201"
"20260331","15604512","3081","10201"
"20260331","15604513","3081","10201"
"20260331","15604515","3081","10201"
"20260331","15604543","3081","10201"
"20260331","15604549","3081","10201"
"20260331","15604553","3081","10201"
"20260331","15604554","3081","10201"
"20260331","15604555","3081","10201"
"20260331","15604556","3081","10201"
"20260331","15604855","3081","10201"
"20260331","15604856","3081","10201"
"20260331","15605153","3081","10201"
"20260331","15605154","3081","10201"
"20260331","15605155","3081","10201"
"20260331","15605156","3081","10201"
"20260331","15605255","3081","10201"
"20260331","15605455","3081","10201"
"20260331","15605553","3081","10201"
"20260331","15605555","3081","10201"
"20260331","15605556","3081","10201"
"20260331","15608599","3081","10201"
"20260331","15612115","3081","10201"
"20260331","15612143","3081","10201"
"20260331","15612153","3081","10201"
"20260331","15612154","3081","10201"
"20260331","15612155","3081","10201"
"20260331","15612156","3081","10201"
"20260331","15612255","3081","10201"
"20260331","15612355","3081","10201"
"20260331","15612455","3081","10201"
"20260331","15612515","3081","10201"
"20260331","15612553","3081","10201"
"20260331","15612554","3081","10201"
"20260331","15612555","3081","10201"
"20260331","15612556","3081","10201"
"20260331","15613143","3081","10201"
"20260331","15613153","3081","10201"
"20260331","15613154","3081","10201"
"20260331","15613155","3081","10201"
"20260331","15613156","3081","10201"
"20260331","15613255","3081","10201"
"20260331","15613455","3081","10201"
"20260331","15613553","3081","10201"
"20260331","15613555","3081","10201"
"20260331","15613556","3081","10201"
"20260331","15616115","3081","10201"
"20260331","15616153","3081","10201"
"20260331","15616154","3081","10201"
"20260331","15616155","3081","10201"
"20260331","15616156","3081","10201"
"20260331","15616255","3081","10201"
"20260331","15616355","3081","10201"
"20260331","15616455","3081","10201"
"20260331","15616515","3081","10201"
"20260331","15616553","3081","10201"
"20260331","15616554","3081","10201"
"20260331","15616555","3081","10201"
"20260331","15616556","3081","10201"
"20260331","15617143","3081","10201"
"20260331","15617153","3081","10201"
"20260331","15617154","3081","10201"
"20260331","15617155","3081","10201"
"20260331","15617156","3081","10201"
"20260331","15617255","3081","10201"
"20260331","15617455","3081","10201"
"20260331","15617553","3081","10201"
"20260331","15617555","3081","10201"
"20260331","15617556","3081","10201"
"20260331","15620153","3081","299"
"20260331","15620155","3081","299"
"20260331","15620156","3081","299"
"20260331","15620455","3081","299"
"20260331","15620555","3081","299"
"20260331","15624153","3081","10201"
"20260331","15624154","3081","10201"
"20260331","15624155","3081","10201"
"20260331","15624156","3081","10201"
"20260331","15624455","3081","10201"
"20260331","15624553","3081","10201"
"20260331","15624555","3081","10201"
"20260331","15624556","3081","10201"
